County,Date,Sales,Dollar Volume,Average Price,Median Price,Total Lisings,Months Inventory
Anderson,2011,21,2283718,108724,86696,396,24
Anderson,2012,27,3364345,123745,98454,358,16
Anderson,2013,25,3109887,120505,95175,343,13
Anderson,2014,29,3803191,129666,101063,283,10
Anderson,2015,29,3975229,136074,109638,239,9
Anderson,2016,35,4725862,134604,122322,199,6
Anderson,2017,33,4947390,146080,113656,185,6
Anderson,2018,33,4941895,146087,122646,161,5
Angelina ,2011,42,5313962,126195,105875,343,8
Angelina ,2012,43,6000630,137830,122242,361,8
Angelina ,2013,47,6838934,145776,121988,367,8
Angelina ,2014,52,7727520,147304,132083,404,8
Angelina ,2015,50,7744371,152800,135338,345,7
Angelina ,2016,55,8613704,155913,141329,341,7
Angelina ,2017,59,9765539,165597,149156,310,5
Angelina ,2018,60,10370104,174303,156515,282,5
